zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,89.3,9.5,1.3,89.3,Stable,True
z_24.0_-18.0,2024,Stable,89.8,8.8,1.4,89.8,Stable,True
z_24.0_-18.0,2025,Stable,91.8,6.8,1.4,91.8,Stable,True
z_24.0_-19.5,2023,Stable,89.3,9.5,1.3,89.3,Stable,True
z_24.0_-19.5,2024,Stable,91.8,6.8,1.4,91.8,Stable,True
z_24.0_-19.5,2025,Stable,91.0,8.1,0.8,91.0,Stable,True
z_27.0_-15.0,2023,Stable,86.9,11.5,1.6,86.9,Stable,True
z_27.0_-15.0,2024,Stable,80.6,15.1,4.3,80.6,Stable,True
z_27.0_-15.0,2025,Stable,87.7,10.2,2.1,87.7,Stable,True
z_27.0_-16.5,2023,Diminution,51.9,43.1,51.9,5.1,Diminution,True
z_27.0_-16.5,2024,Diminution,56.3,37.8,56.3,5.9,Augmentation,False
z_27.0_-16.5,2025,Diminution,48.6,38.7,48.6,12.7,Stable,False
z_28.5_-13.5,2023,Stable,90.0,9.1,0.9,90.0,Diminution,False
z_28.5_-13.5,2024,Stable,90.0,9.1,0.9,90.0,Stable,True
z_28.5_-13.5,2025,Stable,92.0,7.1,0.9,92.0,Diminution,False
z_28.5_-15.0,2023,Stable,38.7,36.7,24.6,38.7,Stable,True
z_28.5_-15.0,2024,Diminution,45.9,22.9,45.9,31.3,Stable,False
z_28.5_-15.0,2025,Diminution,46.8,25.3,46.8,27.9,Stable,False
z_28.5_-16.5,2023,Diminution,64.3,17.2,64.3,18.5,Stable,False
z_28.5_-16.5,2024,Diminution,47.0,20.5,47.0,32.5,Stable,False
z_28.5_-16.5,2025,Diminution,45.4,30.2,45.4,24.4,Stable,False
z_30.0_-10.5,2023,Stable,79.1,19.3,1.7,79.1,Stable,True
z_30.0_-10.5,2024,Stable,79.5,19.3,1.2,79.5,Stable,True
z_30.0_-10.5,2025,Stable,75.3,21.5,3.2,75.3,Stable,True
z_30.0_-13.5,2023,Stable,91.7,7.5,0.8,91.7,Diminution,False
z_30.0_-13.5,2024,Stable,90.6,8.7,0.7,90.6,Stable,True
