zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Diminution,76.5,5.7,76.5,17.8,Diminution,True
z_24.0_-18.0,2024,Diminution,75.8,9.6,75.8,14.7,Stable,False
z_24.0_-18.0,2025,Diminution,63.1,18.9,63.1,18.0,Diminution,True
z_24.0_-19.5,2023,Diminution,84.5,1.5,84.5,14.0,Stable,False
z_24.0_-19.5,2024,Diminution,70.3,11.5,70.3,18.3,Diminution,True
z_24.0_-19.5,2025,Diminution,83.2,2.6,83.2,14.2,Diminution,True
z_27.0_-15.0,2023,Diminution,63.8,5.8,63.8,30.4,Augmentation,False
z_27.0_-15.0,2024,Diminution,60.3,7.6,60.3,32.1,Diminution,True
z_27.0_-15.0,2025,Diminution,64.5,9.6,64.5,25.9,Diminution,True
z_27.0_-16.5,2023,Augmentation,59.0,59.0,16.3,24.7,Diminution,False
z_27.0_-16.5,2024,Augmentation,52.7,52.7,21.7,25.6,Augmentation,True
z_27.0_-16.5,2025,Augmentation,57.1,57.1,19.8,23.2,Stable,False
z_28.5_-13.5,2023,Diminution,75.6,2.1,75.6,22.3,Diminution,True
z_28.5_-13.5,2024,Diminution,75.6,2.1,75.6,22.3,Stable,False
z_28.5_-13.5,2025,Diminution,66.2,8.5,66.2,25.3,Diminution,True
z_28.5_-15.0,2023,Stable,41.0,26.5,32.5,41.0,Augmentation,False
z_28.5_-15.0,2024,Stable,46.2,26.2,27.6,46.2,Stable,True
z_28.5_-15.0,2025,Diminution,32.1,29.6,32.1,38.4,Stable,False
z_28.5_-16.5,2023,Augmentation,50.4,50.4,24.3,25.3,Diminution,False
z_28.5_-16.5,2024,Augmentation,45.2,45.2,26.3,28.5,Stable,False
z_28.5_-16.5,2025,Augmentation,41.9,41.9,25.3,32.8,Stable,False
z_30.0_-10.5,2023,Diminution,39.4,16.5,39.4,44.1,Diminution,True
z_30.0_-10.5,2024,Diminution,48.1,13.7,48.1,38.2,Augmentation,False
z_30.0_-10.5,2025,Diminution,39.3,15.8,39.3,44.9,Diminution,True
z_30.0_-13.5,2023,Diminution,70.4,5.6,70.4,24.0,Diminution,True
z_30.0_-13.5,2024,Diminution,71.4,6.7,71.4,21.9,Stable,False
z_30.0_-13.5,2025,Diminution,57.8,7.3,57.8,34.9,Stable,False
z_30.0_-15.0,2023,Diminution,64.3,13.3,64.3,22.4,Diminution,True
z_30.0_-15.0,2024,Diminution,68.0,8.9,68.0,23.1,Diminution,True
z_30.0_-15.0,2025,Diminution,71.2,3.6,71.2,25.2,Stable,False
z_30.0_28.5,2023,Augmentation,34.5,34.5,28.5,37.0,Diminution,False
z_30.0_28.5,2024,Augmentation,42.5,42.5,18.6,39.0,Diminution,False
z_30.0_28.5,2025,Augmentation,36.8,36.8,22.9,40.2,Diminution,False
z_30.0_30.0,2023,Diminution,55.8,13.5,55.8,30.6,Diminution,True
z_30.0_30.0,2024,Diminution,61.4,7.8,61.4,30.7,Diminution,True
z_30.0_30.0,2025,Diminution,45.9,12.9,45.9,41.3,Stable,False
z_30.0_31.5,2023,Augmentation,52.1,52.1,14.7,33.1,Augmentation,True
z_30.0_31.5,2024,Augmentation,64.7,64.7,12.9,22.4,Stable,False
z_30.0_31.5,2025,Augmentation,63.8,63.8,11.4,24.8,Diminution,False
z_31.5_-15.0,2023,Diminution,78.3,1.2,78.3,20.5,Diminution,True
z_31.5_-15.0,2024,Diminution,70.2,4.8,70.2,25.0,Stable,False
z_31.5_-15.0,2025,Diminution,56.7,14.0,56.7,29.3,Diminution,True
z_31.5_-18.0,2023,Stable,48.6,37.6,13.9,48.6,Augmentation,False
z_31.5_-18.0,2024,Augmentation,38.5,38.5,15.0,46.4,Diminution,False
z_31.5_-18.0,2025,Augmentation,39.7,39.7,12.8,47.5,Diminution,False
z_31.5_31.5,2023,Stable,47.6,28.0,24.4,47.6,Diminution,False
z_31.5_31.5,2024,Augmentation,39.2,39.2,25.7,35.1,Diminution,False
z_31.5_31.5,2025,Stable,43.5,29.7,26.8,43.5,Diminution,False
z_33.0_-13.5,2023,Diminution,66.2,7.7,66.2,26.1,Stable,False
z_33.0_-13.5,2024,Diminution,57.0,14.4,57.0,28.6,Diminution,True
z_33.0_-13.5,2025,Diminution,66.2,7.7,66.2,26.1,Diminution,True
z_33.0_-9.0,2023,Augmentation,36.7,36.7,28.5,34.8,Diminution,False
z_33.0_-9.0,2024,Augmentation,32.5,32.5,28.5,39.0,Stable,False
z_33.0_-9.0,2025,Stable,39.8,31.3,28.8,39.8,Augmentation,False
z_33.0_10.5,2023,Diminution,82.5,7.6,82.5,9.9,Diminution,True
z_33.0_10.5,2024,Diminution,82.5,7.6,82.5,9.9,Diminution,True
z_33.0_10.5,2025,Diminution,82.5,7.6,82.5,9.9,Stable,False
z_33.0_18.0,2023,Diminution,81.1,6.9,81.1,12.0,Diminution,True
z_33.0_18.0,2024,Diminution,81.1,6.9,81.1,12.0,Stable,False
z_33.0_18.0,2025,Diminution,67.3,15.0,67.3,17.7,Diminution,True
z_33.0_25.5,2023,Diminution,86.0,1.5,86.0,12.6,Diminution,True
z_33.0_25.5,2024,Diminution,86.0,1.5,86.0,12.6,Stable,False
z_33.0_25.5,2025,Diminution,72.5,6.9,72.5,20.6,Diminution,True
z_34.5_-1.5,2023,Stable,44.8,22.4,32.8,44.8,Augmentation,False
z_34.5_-1.5,2024,Augmentation,33.2,33.2,32.5,34.3,Diminution,False
z_34.5_-1.5,2025,Diminution,37.7,32.0,37.7,30.3,Diminution,True
z_34.5_-10.5,2023,Diminution,76.4,3.9,76.4,19.6,Diminution,True
z_34.5_-10.5,2024,Diminution,76.4,3.9,76.4,19.6,Stable,False
z_34.5_-10.5,2025,Diminution,65.1,12.3,65.1,22.5,Diminution,True
z_34.5_-4.5,2023,Stable,52.8,19.7,27.6,52.8,Stable,True
z_34.5_-4.5,2024,Stable,53.5,18.4,28.1,53.5,Stable,True
z_34.5_-4.5,2025,Stable,48.1,20.4,31.5,48.1,Stable,True
z_34.5_-6.0,2023,Augmentation,43.8,43.8,29.5,26.7,Diminution,False
z_34.5_-6.0,2024,Augmentation,36.1,36.1,32.8,31.1,Augmentation,True
z_34.5_-6.0,2025,Augmentation,46.4,46.4,25.9,27.7,Diminution,False
z_34.5_-7.5,2023,Stable,48.7,28.6,22.8,48.7,Augmentation,False
z_34.5_-7.5,2024,Augmentation,48.5,48.5,20.4,31.1,Diminution,False
z_34.5_-7.5,2025,Augmentation,35.3,35.3,28.2,36.6,Augmentation,True
z_34.5_0.0,2023,Diminution,64.2,9.3,64.2,26.5,Diminution,True
z_34.5_0.0,2024,Diminution,69.8,6.0,69.8,24.2,Stable,False
z_34.5_0.0,2025,Diminution,52.4,16.1,52.4,31.5,Diminution,True
z_34.5_12.0,2023,Stable,44.4,23.5,32.2,44.4,Stable,True
z_34.5_12.0,2024,Augmentation,34.3,34.3,31.7,34.1,Stable,False
z_34.5_12.0,2025,Augmentation,35.9,35.9,26.5,37.6,Diminution,False
z_34.5_13.5,2023,Stable,61.2,25.5,13.3,61.2,Stable,True
z_34.5_13.5,2024,Stable,52.3,30.6,17.1,52.3,Augmentation,False
z_34.5_13.5,2025,Stable,51.5,33.7,14.9,51.5,Augmentation,False
z_34.5_16.5,2023,Diminution,64.7,5.9,64.7,29.5,Diminution,True
z_34.5_16.5,2024,Diminution,68.3,7.6,68.3,24.1,Diminution,True
z_34.5_16.5,2025,Diminution,73.1,4.1,73.1,22.9,Stable,False
z_34.5_18.0,2023,Diminution,87.5,1.6,87.5,10.9,Diminution,True
z_34.5_18.0,2024,Diminution,87.5,1.6,87.5,10.9,Stable,False
z_34.5_18.0,2025,Diminution,72.8,7.6,72.8,19.5,Diminution,True
z_34.5_19.5,2023,Diminution,62.3,10.1,62.3,27.6,Diminution,True
z_34.5_19.5,2024,Diminution,66.5,7.3,66.5,26.2,Stable,False
z_34.5_19.5,2025,Diminution,54.7,15.3,54.7,30.0,Diminution,True
z_34.5_22.5,2023,Augmentation,37.3,37.3,16.3,46.4,Augmentation,True
z_34.5_22.5,2024,Augmentation,54.3,54.3,19.6,26.1,Stable,False
z_34.5_22.5,2025,Stable,43.5,34.5,22.1,43.5,Augmentation,False
z_34.5_24.0,2023,Stable,44.9,32.6,22.4,44.9,Stable,True
z_34.5_24.0,2024,Augmentation,38.5,38.5,21.6,39.9,Stable,False
z_34.5_24.0,2025,Augmentation,37.9,37.9,19.8,42.3,Diminution,False
z_34.5_25.5,2023,Augmentation,34.2,34.2,27.0,38.8,Stable,False
z_34.5_25.5,2024,Augmentation,48.0,48.0,27.9,24.1,Diminution,False
z_34.5_25.5,2025,Stable,42.8,27.7,29.5,42.8,Diminution,False
z_34.5_27.0,2023,Augmentation,37.6,37.6,21.3,41.1,Diminution,False
z_34.5_27.0,2024,Stable,42.2,31.9,25.9,42.2,Diminution,False
z_34.5_27.0,2025,Stable,41.3,29.1,29.6,41.3,Diminution,False
z_34.5_31.5,2023,Augmentation,46.0,46.0,19.2,34.8,Augmentation,True
z_34.5_31.5,2024,Augmentation,61.8,61.8,12.3,25.9,Diminution,False
z_34.5_31.5,2025,Augmentation,45.1,45.1,23.6,31.3,Diminution,False
z_34.5_33.0,2023,Augmentation,69.6,69.6,16.6,13.9,Augmentation,True
z_34.5_33.0,2024,Augmentation,67.4,67.4,17.7,14.9,Stable,False
z_34.5_33.0,2025,Augmentation,66.9,66.9,17.3,15.7,Stable,False
z_36.0_-1.5,2023,Augmentation,40.6,40.6,25.3,34.1,Diminution,False
z_36.0_-1.5,2024,Stable,46.8,23.9,29.3,46.8,Diminution,False
z_36.0_-1.5,2025,Stable,40.2,31.1,28.7,40.2,Diminution,False
z_36.0_-10.5,2023,Augmentation,48.1,48.1,17.1,34.7,Augmentation,True
z_36.0_-10.5,2024,Augmentation,43.1,43.1,16.0,40.9,Augmentation,True
z_36.0_-10.5,2025,Augmentation,54.7,54.7,16.4,28.9,Augmentation,True
z_36.0_-12.0,2023,Diminution,83.8,2.1,83.8,14.1,Stable,False
