zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,4,2023,4,Stable,56.0,26.1,17.9,56.0,Stable,True
z_24.0_-18.0,4,2024,4,Stable,56.0,26.1,17.9,56.0,Stable,True
z_24.0_-18.0,4,2025,4,Stable,56.0,26.1,17.9,56.0,Stable,True
z_24.0_-19.5,4,2023,4,Stable,63.6,30.3,6.1,63.6,Stable,True
z_24.0_-19.5,4,2024,4,Stable,64.2,29.6,6.2,64.2,Stable,True
z_24.0_-19.5,4,2025,4,Stable,64.2,29.6,6.2,64.2,Stable,True
z_27.0_-15.0,4,2023,4,Stable,65.0,28.9,6.0,65.0,Stable,True
z_27.0_-15.0,8,2023,8,Stable,64.3,32.1,3.6,64.3,Stable,True
z_27.0_-15.0,4,2024,4,Stable,65.0,28.9,6.0,65.0,Stable,True
z_27.0_-15.0,8,2024,8,Stable,62.5,33.4,4.1,62.5,Stable,True
z_27.0_-15.0,4,2025,4,Stable,65.0,28.9,6.0,65.0,Stable,True
z_27.0_-15.0,8,2025,8,Stable,62.5,33.4,4.1,62.5,Stable,True
z_27.0_-16.5,1,2023,1,Augmentation,49.1,49.1,11.3,39.6,Stable,False
z_27.0_-16.5,2,2023,2,Augmentation,53.5,53.5,7.2,39.2,Stable,False
z_27.0_-16.5,3,2023,3,Stable,61.1,34.3,4.6,61.1,Diminution,False
z_27.0_-16.5,4,2023,4,Stable,60.2,36.0,3.8,60.2,Stable,True
z_27.0_-16.5,5,2023,5,Stable,55.5,38.4,6.1,55.5,Diminution,False
z_27.0_-16.5,6,2023,6,Stable,57.1,35.4,7.5,57.1,Diminution,False
z_27.0_-16.5,7,2023,7,Augmentation,49.2,49.2,3.8,47.0,Stable,False
z_27.0_-16.5,8,2023,8,Stable,55.0,40.4,4.6,55.0,Stable,True
z_27.0_-16.5,9,2023,9,Stable,54.1,41.6,4.4,54.1,Stable,True
z_27.0_-16.5,10,2023,10,Stable,56.6,40.0,3.4,56.6,Stable,True
z_27.0_-16.5,11,2023,11,Augmentation,50.9,50.9,2.2,46.9,Diminution,False
z_27.0_-16.5,12,2023,12,Stable,51.2,46.0,2.8,51.2,Stable,True
z_27.0_-16.5,1,2024,1,Stable,58.1,37.6,4.3,58.1,Stable,True
z_27.0_-16.5,2,2024,2,Stable,55.8,41.3,3.0,55.8,Stable,True
z_27.0_-16.5,3,2024,3,Stable,57.6,37.7,4.7,57.6,Stable,True
z_27.0_-16.5,4,2024,4,Stable,61.7,32.6,5.7,61.7,Stable,True
z_27.0_-16.5,5,2024,5,Stable,64.5,32.5,3.0,64.5,Stable,True
z_27.0_-16.5,6,2024,6,Stable,53.7,28.2,18.2,53.7,Augmentation,False
z_27.0_-16.5,7,2024,7,Stable,58.8,30.5,10.6,58.8,Stable,True
z_27.0_-16.5,8,2024,8,Stable,55.6,26.9,17.5,55.6,Stable,True
z_27.0_-16.5,9,2024,9,Stable,61.0,33.1,5.9,61.0,Stable,True
z_27.0_-16.5,10,2024,10,Stable,59.7,34.2,6.1,59.7,Stable,True
z_27.0_-16.5,11,2024,11,Stable,59.5,34.7,5.8,59.5,Stable,True
z_27.0_-16.5,12,2024,12,Stable,56.3,37.7,6.0,56.3,Augmentation,False
z_27.0_-16.5,1,2025,1,Stable,56.6,36.8,6.6,56.6,Augmentation,False
z_27.0_-16.5,2,2025,2,Augmentation,49.9,49.9,7.7,42.4,Stable,False
z_27.0_-16.5,3,2025,3,Augmentation,51.7,51.7,7.2,41.0,Stable,False
z_27.0_-16.5,4,2025,4,Stable,59.6,26.0,14.4,59.6,Stable,True
z_27.0_-16.5,5,2025,5,Stable,57.0,29.6,13.4,57.0,Diminution,False
z_27.0_-16.5,6,2025,6,Stable,50.8,31.2,18.0,50.8,Diminution,False
z_27.0_-16.5,7,2025,7,Stable,54.2,39.8,6.0,54.2,Stable,True
