zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,4,2023,4,Stable,97.0,0.7,2.4,97.0,Stable,True
z_24.0_-18.0,4,2024,4,Stable,97.0,0.7,2.4,97.0,Stable,True
z_24.0_-18.0,4,2025,4,Stable,97.0,0.7,2.4,97.0,Stable,True
z_24.0_-19.5,4,2023,4,Stable,96.1,1.2,2.7,96.1,Stable,True
z_24.0_-19.5,4,2024,4,Stable,97.1,0.7,2.2,97.1,Stable,True
z_24.0_-19.5,4,2025,4,Stable,97.1,0.7,2.2,97.1,Stable,True
z_27.0_-15.0,4,2023,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2023,8,Stable,91.1,5.0,3.9,91.1,Stable,True
z_27.0_-15.0,4,2024,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2024,8,Stable,97.1,0.8,2.1,97.1,Stable,True
z_27.0_-15.0,4,2025,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2025,8,Stable,97.1,0.8,2.1,97.1,Stable,True
z_27.0_-16.5,1,2023,1,Augmentation,54.7,54.7,5.6,39.7,Stable,False
z_27.0_-16.5,2,2023,2,Augmentation,65.0,65.0,4.1,31.0,Stable,False
z_27.0_-16.5,3,2023,3,Augmentation,31.2,31.2,50.8,18.0,Diminution,False
z_27.0_-16.5,4,2023,4,Augmentation,57.1,57.1,4.6,38.3,Stable,False
z_27.0_-16.5,5,2023,5,Augmentation,33.3,33.3,50.3,16.5,Diminution,False
z_27.0_-16.5,6,2023,6,Augmentation,44.4,44.4,4.5,51.1,Diminution,False
z_27.0_-16.5,7,2023,7,Augmentation,55.1,55.1,3.7,41.2,Stable,False
z_27.0_-16.5,8,2023,8,Augmentation,47.9,47.9,4.0,48.1,Stable,False
z_27.0_-16.5,9,2023,9,Augmentation,46.4,46.4,4.3,49.4,Stable,False
z_27.0_-16.5,10,2023,10,Augmentation,33.1,33.1,12.4,54.5,Stable,False
z_27.0_-16.5,11,2023,11,Diminution,82.3,10.0,82.3,7.7,Diminution,True
z_27.0_-16.5,12,2023,12,Diminution,70.2,14.4,70.2,15.4,Stable,False
z_27.0_-16.5,1,2024,1,Augmentation,35.3,35.3,7.1,57.6,Stable,False
z_27.0_-16.5,2,2024,2,Augmentation,33.0,33.0,6.0,61.0,Stable,False
z_27.0_-16.5,3,2024,3,Diminution,65.2,13.5,65.2,21.4,Stable,False
z_27.0_-16.5,4,2024,4,Augmentation,32.5,32.5,7.2,60.3,Stable,False
z_27.0_-16.5,5,2024,5,Diminution,69.7,12.2,69.7,18.1,Stable,False
z_27.0_-16.5,6,2024,6,Augmentation,41.4,41.4,4.7,53.9,Augmentation,True
z_27.0_-16.5,7,2024,7,Augmentation,53.6,53.6,5.2,41.1,Stable,False
z_27.0_-16.5,8,2024,8,Augmentation,45.5,45.5,4.4,50.1,Stable,False
z_27.0_-16.5,9,2024,9,Augmentation,51.3,51.3,4.0,44.7,Stable,False
z_27.0_-16.5,10,2024,10,Augmentation,49.8,49.8,5.4,44.8,Stable,False
z_27.0_-16.5,11,2024,11,Diminution,61.5,23.9,61.5,14.6,Stable,False
z_27.0_-16.5,12,2024,12,Diminution,58.2,25.3,58.2,16.5,Augmentation,False
z_27.0_-16.5,1,2025,1,Augmentation,42.5,42.5,5.3,52.2,Augmentation,True
z_27.0_-16.5,2,2025,2,Augmentation,55.2,55.2,6.4,38.4,Stable,False
z_27.0_-16.5,3,2025,3,Augmentation,29.3,29.3,48.4,22.3,Stable,False
z_27.0_-16.5,4,2025,4,Augmentation,51.8,51.8,6.3,42.0,Stable,False
z_27.0_-16.5,5,2025,5,Diminution,50.6,29.6,50.6,19.8,Diminution,True
