zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Stable,98.6,0.1,1.3,98.6,Stable,True
z_24.0_-18.0,2024,1,2024-S1,Stable,98.6,0.1,1.3,98.6,Stable,True
z_24.0_-18.0,2025,1,2025-S1,Stable,98.3,0.6,1.1,98.3,Stable,True
z_24.0_-19.5,2023,1,2023-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_24.0_-19.5,2024,1,2024-S1,Stable,95.9,2.0,2.1,95.9,Stable,True
z_24.0_-19.5,2025,1,2025-S1,Stable,98.8,0.1,1.1,98.8,Stable,True
z_27.0_-15.0,2023,1,2023-S1,Stable,97.8,0.1,2.1,97.8,Stable,True
z_27.0_-15.0,2023,2,2023-S2,Stable,60.8,25.9,13.3,60.8,Stable,True
z_27.0_-15.0,2024,1,2024-S1,Stable,84.2,10.6,5.2,84.2,Stable,True
z_27.0_-15.0,2024,2,2024-S2,Stable,82.2,3.1,14.7,82.2,Stable,True
z_27.0_-15.0,2025,1,2025-S1,Stable,97.6,0.3,2.2,97.6,Stable,True
z_27.0_-15.0,2025,2,2025-S2,Stable,84.8,0.6,14.6,84.8,Stable,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,76.2,76.2,16.1,7.7,Stable,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,52.0,52.0,38.2,9.7,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,51.5,51.5,38.3,10.1,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Diminution,45.2,43.8,45.2,11.0,Augmentation,False
z_27.0_-16.5,2025,1,2025-S1,Augmentation,68.9,68.9,21.1,10.0,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,62.9,62.9,28.7,8.4,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Stable,98.8,0.1,1.1,98.8,Stable,True
z_28.5_-13.5,2023,2,2023-S2,Stable,98.8,0.3,1.0,98.8,Stable,True
z_28.5_-13.5,2024,1,2024-S1,Stable,98.8,0.1,1.1,98.8,Stable,True
z_28.5_-13.5,2024,2,2024-S2,Stable,97.2,1.8,1.0,97.2,Stable,True
z_28.5_-13.5,2025,1,2025-S1,Stable,95.5,2.3,2.2,95.5,Stable,True
z_28.5_-13.5,2025,2,2025-S2,Stable,96.2,2.5,1.3,96.2,Stable,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,75.8,5.9,75.8,18.3,Stable,False
z_28.5_-15.0,2023,2,2023-S2,Stable,82.6,8.7,8.6,82.6,Stable,True
z_28.5_-15.0,2024,1,2024-S1,Diminution,63.4,16.8,63.4,19.8,Stable,False
z_28.5_-15.0,2024,2,2024-S2,Stable,50.7,46.0,3.3,50.7,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Diminution,74.7,9.5,74.7,15.9,Stable,False
z_28.5_-15.0,2025,2,2025-S2,Stable,52.4,42.1,5.5,52.4,Stable,True
z_28.5_-16.5,2023,1,2023-S1,Stable,51.1,28.4,20.5,51.1,Stable,True
z_28.5_-16.5,2023,2,2023-S2,Diminution,77.7,5.6,77.7,16.7,Stable,False
z_28.5_-16.5,2024,1,2024-S1,Stable,66.8,24.3,8.9,66.8,Stable,True
z_28.5_-16.5,2024,2,2024-S2,Diminution,67.8,13.5,67.8,18.7,Stable,False
z_28.5_-16.5,2025,1,2025-S1,Stable,47.5,43.1,9.4,47.5,Stable,True
z_28.5_-16.5,2025,2,2025-S2,Diminution,43.2,30.4,43.2,26.4,Stable,False
z_30.0_-10.5,2023,1,2023-S1,Stable,98.0,0.2,1.8,98.0,Stable,True
z_30.0_-10.5,2023,2,2023-S2,Stable,98.1,0.2,1.7,98.1,Stable,True
z_30.0_-10.5,2024,1,2024-S1,Stable,98.0,0.2,1.8,98.0,Stable,True
z_30.0_-10.5,2024,2,2024-S2,Stable,97.4,1.4,1.2,97.4,Stable,True
z_30.0_-10.5,2025,1,2025-S1,Stable,77.9,19.2,2.9,77.9,Stable,True
z_30.0_-10.5,2025,2,2025-S2,Stable,90.2,7.1,2.7,90.2,Stable,True
z_30.0_-13.5,2023,1,2023-S1,Stable,93.6,4.4,2.1,93.6,Stable,True
z_30.0_-13.5,2024,1,2024-S1,Stable,98.5,0.4,1.1,98.5,Stable,True
z_30.0_-13.5,2025,1,2025-S1,Stable,90.8,6.6,2.5,90.8,Stable,True
z_30.0_-15.0,2023,1,2023-S1,Stable,81.7,13.1,5.2,81.7,Stable,True
z_30.0_-15.0,2024,1,2024-S1,Stable,97.4,0.9,1.7,97.4,Stable,True
z_30.0_-15.0,2025,1,2025-S1,Stable,88.9,8.7,2.5,88.9,Stable,True
z_30.0_28.5,2023,1,2023-S1,Diminution,74.7,5.8,74.7,19.5,Stable,False
z_30.0_28.5,2023,2,2023-S2,Diminution,59.2,20.9,59.2,19.9,Diminution,True
z_30.0_28.5,2024,1,2024-S1,Diminution,69.1,16.4,69.1,14.5,Diminution,True
z_30.0_28.5,2024,2,2024-S2,Diminution,70.5,15.5,70.5,14.0,Diminution,True
z_30.0_28.5,2025,1,2025-S1,Diminution,77.4,5.1,77.4,17.5,Diminution,True
z_30.0_28.5,2025,2,2025-S2,Diminution,80.8,8.4,80.8,10.7,Stable,False
z_30.0_30.0,2023,1,2023-S1,Stable,98.2,1.0,0.8,98.2,Stable,True
z_30.0_30.0,2023,2,2023-S2,Stable,98.6,0.1,1.2,98.6,Stable,True
z_30.0_30.0,2024,1,2024-S1,Stable,96.6,2.7,0.6,96.6,Stable,True
z_30.0_30.0,2024,2,2024-S2,Stable,90.3,7.1,2.5,90.3,Stable,True
z_30.0_30.0,2025,1,2025-S1,Stable,97.9,1.2,0.9,97.9,Stable,True
z_30.0_30.0,2025,2,2025-S2,Stable,98.3,0.9,0.8,98.3,Stable,True
z_30.0_31.5,2023,1,2023-S1,Diminution,47.0,26.4,47.0,26.6,Augmentation,False
z_30.0_31.5,2023,2,2023-S2,Diminution,39.4,39.0,39.4,21.7,Stable,False
z_30.0_31.5,2024,1,2024-S1,Diminution,39.7,35.6,39.7,24.7,Stable,False
z_30.0_31.5,2024,2,2024-S2,Diminution,63.2,18.6,63.2,18.2,Augmentation,False
z_30.0_31.5,2025,1,2025-S1,Augmentation,41.2,41.2,38.9,19.9,Stable,False
z_30.0_31.5,2025,2,2025-S2,Diminution,51.2,24.7,51.2,24.2,Diminution,True
z_31.5_-15.0,2023,1,2023-S1,Stable,98.8,0.5,0.7,98.8,Stable,True
z_31.5_-15.0,2023,2,2023-S2,Stable,92.3,5.4,2.3,92.3,Stable,True
z_31.5_-15.0,2024,1,2024-S1,Stable,98.7,0.3,1.0,98.7,Stable,True
z_31.5_-15.0,2024,2,2024-S2,Stable,98.5,0.3,1.1,98.5,Stable,True
z_31.5_-15.0,2025,1,2025-S1,Stable,98.3,0.8,0.9,98.3,Stable,True
z_31.5_-15.0,2025,2,2025-S2,Stable,94.0,3.7,2.2,94.0,Stable,True
z_31.5_-18.0,2023,1,2023-S1,Stable,74.1,22.8,3.1,74.1,Stable,True
z_31.5_-18.0,2023,2,2023-S2,Stable,65.7,31.3,3.0,65.7,Stable,True
z_31.5_-18.0,2024,1,2024-S1,Stable,50.0,44.8,5.2,50.0,Stable,True
z_31.5_-18.0,2024,2,2024-S2,Stable,74.1,19.9,6.1,74.1,Stable,True
z_31.5_-18.0,2025,1,2025-S1,Stable,83.2,10.9,5.8,83.2,Stable,True
z_31.5_-18.0,2025,2,2025-S2,Stable,87.6,8.0,4.5,87.6,Stable,True
z_31.5_31.5,2023,1,2023-S1,Stable,86.3,10.3,3.4,86.3,Stable,True
z_31.5_31.5,2024,1,2024-S1,Stable,93.7,3.5,2.8,93.7,Stable,True
z_31.5_31.5,2025,1,2025-S1,Stable,91.5,4.6,3.8,91.5,Stable,True
z_33.0_-13.5,2023,1,2023-S1,Stable,98.7,0.1,1.3,98.7,Stable,True
z_33.0_-13.5,2023,2,2023-S2,Stable,95.6,2.1,2.2,95.6,Stable,True
z_33.0_-13.5,2024,1,2024-S1,Stable,90.8,7.4,1.7,90.8,Stable,True
z_33.0_-13.5,2024,2,2024-S2,Stable,93.2,4.4,2.5,93.2,Stable,True
z_33.0_-13.5,2025,1,2025-S1,Stable,98.4,0.1,1.5,98.4,Stable,True
z_33.0_-13.5,2025,2,2025-S2,Stable,98.3,0.3,1.4,98.3,Stable,True
z_33.0_-9.0,2023,1,2023-S1,Stable,76.8,13.3,9.8,76.8,Stable,True
z_33.0_-9.0,2023,2,2023-S2,Stable,87.9,8.8,3.3,87.9,Stable,True
z_33.0_-9.0,2024,1,2024-S1,Stable,76.8,15.6,7.5,76.8,Stable,True
z_33.0_-9.0,2024,2,2024-S2,Stable,56.7,38.1,5.1,56.7,Stable,True
z_33.0_-9.0,2025,1,2025-S1,Stable,61.2,34.6,4.2,61.2,Stable,True
z_33.0_-9.0,2025,2,2025-S2,Stable,79.1,10.8,10.1,79.1,Augmentation,False
z_33.0_10.5,2023,1,2023-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_33.0_10.5,2024,1,2024-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
