zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Stable,80.9,18.5,0.6,80.9,Stable,True
z_24.0_-18.0,2024,2,2024-T2,Stable,81.7,17.9,0.4,81.7,Stable,True
z_24.0_-18.0,2025,2,2025-T2,Stable,77.8,21.8,0.5,77.8,Stable,True
z_24.0_-19.5,2023,2,2023-T2,Stable,82.5,17.2,0.2,82.5,Stable,True
z_24.0_-19.5,2024,2,2024-T2,Stable,82.4,17.3,0.3,82.4,Stable,True
z_24.0_-19.5,2025,2,2025-T2,Stable,82.4,17.3,0.3,82.4,Stable,True
z_27.0_-15.0,2023,2,2023-T2,Stable,81.2,18.4,0.5,81.2,Stable,True
z_27.0_-15.0,2023,3,2023-T3,Stable,76.3,23.5,0.2,76.3,Stable,True
z_27.0_-15.0,2024,2,2024-T2,Stable,81.0,18.5,0.5,81.0,Stable,True
z_27.0_-15.0,2024,3,2024-T3,Stable,81.5,18.1,0.3,81.5,Stable,True
z_27.0_-15.0,2025,2,2025-T2,Stable,80.5,18.9,0.6,80.5,Stable,True
z_27.0_-15.0,2025,3,2025-T3,Stable,81.5,18.1,0.3,81.5,Stable,True
z_27.0_-16.5,2023,1,2023-T1,Diminution,48.1,29.6,48.1,22.4,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,39.2,39.2,35.4,25.3,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Diminution,44.4,34.6,44.4,21.0,Diminution,True
z_27.0_-16.5,2023,4,2023-T4,Diminution,65.9,15.1,65.9,19.0,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Diminution,66.4,13.5,66.4,20.1,Augmentation,False
z_27.0_-16.5,2024,2,2024-T2,Diminution,56.7,19.9,56.7,23.4,Augmentation,False
z_27.0_-16.5,2024,3,2024-T3,Diminution,44.9,30.8,44.9,24.4,Stable,False
z_27.0_-16.5,2024,4,2024-T4,Diminution,41.2,34.1,41.2,24.7,Augmentation,False
z_27.0_-16.5,2025,1,2025-T1,Diminution,45.5,33.7,45.5,20.8,Augmentation,False
z_27.0_-16.5,2025,2,2025-T2,Augmentation,55.0,55.0,25.1,19.9,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Diminution,36.8,35.7,36.8,27.5,Stable,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,40.6,40.6,37.8,21.7,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Stable,84.7,15.1,0.2,84.7,Stable,True
z_28.5_-13.5,2023,3,2023-T3,Stable,84.0,15.8,0.2,84.0,Stable,True
z_28.5_-13.5,2024,2,2024-T2,Stable,84.7,15.1,0.2,84.7,Stable,True
z_28.5_-13.5,2024,3,2024-T3,Stable,84.5,15.4,0.1,84.5,Stable,True
z_28.5_-13.5,2025,2,2025-T2,Stable,83.1,16.8,0.1,83.1,Stable,True
z_28.5_-13.5,2025,3,2025-T3,Stable,80.6,19.1,0.2,80.6,Stable,True
z_28.5_-15.0,2023,1,2023-T1,Stable,78.8,20.7,0.5,78.8,Stable,True
z_28.5_-15.0,2023,2,2023-T2,Stable,87.3,12.6,0.2,87.3,Stable,True
z_28.5_-15.0,2023,3,2023-T3,Stable,82.3,17.2,0.5,82.3,Stable,True
z_28.5_-15.0,2023,4,2023-T4,Stable,81.4,18.2,0.4,81.4,Stable,True
