zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Diminution,57.8,8.4,57.8,33.8,Diminution,True
z_24.0_-18.0,2024,2,2024-T2,Diminution,84.9,4.2,84.9,10.9,Diminution,True
z_24.0_-18.0,2025,2,2025-T2,Diminution,73.4,4.2,73.4,22.4,Diminution,True
z_24.0_-19.5,2023,2,2023-T2,Diminution,51.0,6.5,51.0,42.5,Diminution,True
z_24.0_-19.5,2024,2,2024-T2,Diminution,90.5,1.5,90.5,8.0,Diminution,True
z_24.0_-19.5,2025,2,2025-T2,Diminution,90.5,1.5,90.5,8.0,Diminution,True
z_27.0_-15.0,2023,2,2023-T2,Diminution,58.4,6.5,58.4,35.1,Augmentation,False
z_27.0_-15.0,2023,3,2023-T3,Diminution,71.1,3.2,71.1,25.6,Diminution,True
z_27.0_-15.0,2024,2,2024-T2,Diminution,73.4,2.7,73.4,23.9,Diminution,True
z_27.0_-15.0,2024,3,2024-T3,Diminution,88.6,2.5,88.6,8.9,Diminution,True
z_27.0_-15.0,2025,2,2025-T2,Diminution,79.8,6.0,79.8,14.2,Diminution,True
z_27.0_-15.0,2025,3,2025-T3,Diminution,88.6,2.5,88.6,8.9,Diminution,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,74.3,74.3,8.0,17.7,Augmentation,True
z_27.0_-16.5,2023,2,2023-T2,Augmentation,69.8,69.8,11.9,18.4,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,57.2,57.2,20.6,22.2,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,40.5,36.4,40.5,23.1,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Augmentation,38.0,38.0,36.5,25.5,Augmentation,True
z_27.0_-16.5,2024,2,2024-T2,Augmentation,52.2,52.2,28.0,19.8,Augmentation,True
z_27.0_-16.5,2024,3,2024-T3,Augmentation,68.4,68.4,14.3,17.3,Diminution,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,67.6,67.6,13.8,18.6,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,59.4,59.4,14.2,26.4,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,78.0,78.0,8.8,13.2,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,64.8,64.8,16.3,18.9,Diminution,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,59.0,59.0,15.6,25.4,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Diminution,87.9,1.3,87.9,10.7,Diminution,True
z_28.5_-13.5,2023,3,2023-T3,Diminution,75.7,5.3,75.7,19.0,Diminution,True
z_28.5_-13.5,2024,2,2024-T2,Diminution,87.9,1.3,87.9,10.7,Stable,False
z_28.5_-13.5,2024,3,2024-T3,Diminution,68.7,5.6,68.7,25.7,Diminution,True
z_28.5_-13.5,2025,2,2025-T2,Diminution,61.6,2.6,61.6,35.7,Diminution,True
z_28.5_-13.5,2025,3,2025-T3,Diminution,67.6,5.6,67.6,26.8,Diminution,True
z_28.5_-15.0,2023,1,2023-T1,Stable,52.9,9.4,37.8,52.9,Diminution,False
z_28.5_-15.0,2023,2,2023-T2,Diminution,74.3,4.0,74.3,21.8,Stable,False
z_28.5_-15.0,2023,3,2023-T3,Diminution,71.8,12.0,71.8,16.2,Diminution,True
z_28.5_-15.0,2023,4,2023-T4,Diminution,50.1,16.0,50.1,33.8,Stable,False
z_28.5_-15.0,2024,1,2024-T1,Stable,45.2,18.1,36.6,45.2,Diminution,False
z_28.5_-15.0,2024,2,2024-T2,Diminution,49.2,9.1,49.2,41.7,Stable,False
z_28.5_-15.0,2024,3,2024-T3,Diminution,60.9,13.5,60.9,25.6,Diminution,True
z_28.5_-15.0,2024,4,2024-T4,Stable,43.3,20.8,35.9,43.3,Diminution,False
z_28.5_-15.0,2025,1,2025-T1,Stable,39.6,23.3,37.1,39.6,Diminution,False
z_28.5_-15.0,2025,2,2025-T2,Diminution,47.3,11.2,47.3,41.5,Augmentation,False
z_28.5_-15.0,2025,3,2025-T3,Diminution,43.2,25.1,43.2,31.7,Diminution,True
z_28.5_-15.0,2025,4,2025-T4,Stable,44.1,17.8,38.1,44.1,Diminution,False
z_28.5_-16.5,2023,1,2023-T1,Stable,43.9,20.3,35.8,43.9,Diminution,False
z_28.5_-16.5,2023,3,2023-T3,Diminution,56.5,20.2,56.5,23.4,Diminution,True
z_28.5_-16.5,2023,4,2023-T4,Stable,45.7,17.8,36.5,45.7,Diminution,False
z_28.5_-16.5,2024,1,2024-T1,Stable,43.3,20.7,35.9,43.3,Diminution,False
