variable,importance,importance_pct
ref_hist_cible,0.4219445607108926,42.2
mediane_12,0.09190522369210272,9.2
mediane_24,0.08026587873576657,8.0
mediane_6,0.060680753663778564,6.1
nb_annees_hist_cible,0.045096482380196846,4.5
mediane_3,0.037734483437169904,3.8
densite_moyenne,0.0346657040460964,3.5
densite_max,0.0334047994152879,3.3
nb_accidents_lag_2,0.029691380165583127,3.0
nb_accidents_lag_1,0.028132936916810868,2.8
nb_accidents_lag_12,0.02025750749518715,2.0
nb_accidents_lag_6,0.018073817573718256,1.8
nb_accidents_lag_3,0.016677389718592832,1.7
mois_cos,0.014953125735694833,1.5
nb_accidents_lag_24,0.0146033114541006,1.5
evolution_recente,0.013130364631005219,1.3
mois_sin,0.013018058800604849,1.3
annee,0.012899160947021121,1.3
nombre_navires,0.012865060480389587,1.3
