economie,annee,type_navire,nombre_navires
Monde,2011,Flotte totale,83282
Monde,2011,Petroliers,10609
Monde,2011,Vraquiers,8228
Monde,2011,Navires de charge classique,21090
Monde,2011,Porte-conteneurs,4966
Monde,2011,Autres navires,38389
Monde,2012,Flotte totale,84709
Monde,2012,Petroliers,8838
Monde,2012,Vraquiers,9001
Monde,2012,Navires de charge classique,20309
Monde,2012,Porte-conteneurs,5096
Monde,2012,Autres navires,41465
Monde,2013,Flotte totale,86667
Monde,2013,Petroliers,9100
Monde,2013,Vraquiers,9688
Monde,2013,Navires de charge classique,20421
Monde,2013,Porte-conteneurs,5079
Monde,2013,Autres navires,42379
Monde,2014,Flotte totale,87949
Monde,2014,Petroliers,9239
Monde,2014,Vraquiers,10162
Monde,2014,Navires de charge classique,19664
Monde,2014,Porte-conteneurs,5101
Monde,2014,Autres navires,43783
Monde,2015,Flotte totale,90470
Monde,2015,Petroliers,9695
Monde,2015,Vraquiers,10509
Monde,2015,Navires de charge classique,19566
Monde,2015,Porte-conteneurs,5111
Monde,2015,Autres navires,45589
Monde,2016,Flotte totale,92095
Monde,2016,Petroliers,9884
Monde,2016,Vraquiers,10729
Monde,2016,Navires de charge classique,19613
Monde,2016,Porte-conteneurs,5226
Monde,2016,Autres navires,46643
Monde,2017,Flotte totale,93518
Monde,2017,Petroliers,10187
Monde,2017,Vraquiers,10895
Monde,2017,Navires de charge classique,19044
Monde,2017,Porte-conteneurs,5150
Monde,2017,Autres navires,48242
Monde,2018,Flotte totale,95650
Monde,2018,Petroliers,10852
Monde,2018,Vraquiers,11384
Monde,2018,Navires de charge classique,19079
Monde,2018,Porte-conteneurs,5198
Monde,2018,Autres navires,49137
Monde,2019,Flotte totale,97133
Monde,2019,Petroliers,10996
Monde,2019,Vraquiers,11623
Monde,2019,Navires de charge classique,19287
Monde,2019,Porte-conteneurs,5305
Monde,2019,Autres navires,49922
Monde,2020,Flotte totale,100148
Monde,2020,Petroliers,11354
Monde,2020,Vraquiers,11987
Monde,2020,Navires de charge classique,19887
Monde,2020,Porte-conteneurs,5384
Monde,2020,Autres navires,51536
Monde,2021,Flotte totale,102172
Monde,2021,Petroliers,11540
Monde,2021,Vraquiers,12379
Monde,2021,Navires de charge classique,20066
Monde,2021,Porte-conteneurs,5495
Monde,2021,Autres navires,52692
Monde,2022,Flotte totale,104827
Monde,2022,Petroliers,12133
Monde,2022,Vraquiers,12783
Monde,2022,Navires de charge classique,20332
Monde,2022,Porte-conteneurs,5673
Monde,2022,Autres navires,53906
Monde,2023,Flotte totale,107744
Monde,2023,Petroliers,12359
Monde,2023,Vraquiers,13316
Monde,2023,Navires de charge classique,20778
Monde,2023,Porte-conteneurs,6077
Monde,2023,Autres navires,55214
Monde,2024,Flotte totale,110094
Monde,2024,Petroliers,12559
Monde,2024,Vraquiers,13792
Monde,2024,Navires de charge classique,21244
Monde,2024,Porte-conteneurs,6370
Monde,2024,Autres navires,56129
Monde,2025,Flotte totale,112782
Monde,2025,Petroliers,12687
Monde,2025,Vraquiers,14211
Monde,2025,Navires de charge classique,21409
Monde,2025,Porte-conteneurs,6789
Monde,2025,Autres navires,57686
Monde,2026,Flotte totale,115649
Monde,2026,Petroliers,12931
Monde,2026,Vraquiers,14630
Monde,2026,Navires de charge classique,21661
Monde,2026,Porte-conteneurs,7044
Monde,2026,Autres navires,59383
Asie,2011,Flotte totale,35108
Asie,2011,Petroliers,4746
Asie,2011,Vraquiers,2643
Asie,2011,Navires de charge classique,10762
Asie,2011,Porte-conteneurs,1502
Asie,2011,Autres navires,15455
Asie,2012,Flotte totale,35918
Asie,2012,Petroliers,3829
Asie,2012,Vraquiers,2994
Asie,2012,Navires de charge classique,10360
Asie,2012,Porte-conteneurs,1512
Asie,2012,Autres navires,17223
Asie,2013,Flotte totale,37498
Asie,2013,Petroliers,3959
Asie,2013,Vraquiers,3409
Asie,2013,Navires de charge classique,10512
Asie,2013,Porte-conteneurs,1613
Asie,2013,Autres navires,18005
Asie,2014,Flotte totale,38559
Asie,2014,Petroliers,4101
Asie,2014,Vraquiers,3728
Asie,2014,Navires de charge classique,10315
Asie,2014,Porte-conteneurs,1746
Asie,2014,Autres navires,18669
Asie,2015,Flotte totale,39845
Asie,2015,Petroliers,4306
Asie,2015,Vraquiers,3871
Asie,2015,Navires de charge classique,10363
Asie,2015,Porte-conteneurs,1835
Asie,2015,Autres navires,19470
Asie,2016,Flotte totale,40564
Asie,2016,Petroliers,4378
Asie,2016,Vraquiers,3924
Asie,2016,Navires de charge classique,10439
Asie,2016,Porte-conteneurs,1914
Asie,2016,Autres navires,19909
Asie,2017,Flotte totale,41851
Asie,2017,Petroliers,4464
Asie,2017,Vraquiers,3927
Asie,2017,Navires de charge classique,10115
Asie,2017,Porte-conteneurs,1960
Asie,2017,Autres navires,21385
Asie,2018,Flotte totale,43753
Asie,2018,Petroliers,5019
Asie,2018,Vraquiers,4237
Asie,2018,Navires de charge classique,10225
Asie,2018,Porte-conteneurs,2071
Asie,2018,Autres navires,22201
Asie,2019,Flotte totale,44802
Asie,2019,Petroliers,5119
Asie,2019,Vraquiers,4339
Asie,2019,Navires de charge classique,10456
Asie,2019,Porte-conteneurs,2177
Asie,2019,Autres navires,22711
Asie,2020,Flotte totale,46761
Asie,2020,Petroliers,5386
Asie,2020,Vraquiers,4408
Asie,2020,Navires de charge classique,10886
Asie,2020,Porte-conteneurs,2243
Asie,2020,Autres navires,23838
Asie,2021,Flotte totale,48028
Asie,2021,Petroliers,5470
Asie,2021,Vraquiers,4473
Asie,2021,Navires de charge classique,11114
Asie,2021,Porte-conteneurs,2335
Asie,2021,Autres navires,24636
Asie,2022,Flotte totale,49933
Asie,2022,Petroliers,5997
Asie,2022,Vraquiers,4591
Asie,2022,Navires de charge classique,11267
Asie,2022,Porte-conteneurs,2405
Asie,2022,Autres navires,25673
Asie,2023,Flotte totale,51550
Asie,2023,Petroliers,6025
Asie,2023,Vraquiers,4797
Asie,2023,Navires de charge classique,11469
Asie,2023,Porte-conteneurs,2711
Asie,2023,Autres navires,26548
Asie,2024,Flotte totale,53389
Asie,2024,Petroliers,6157
Asie,2024,Vraquiers,4996
Asie,2024,Navires de charge classique,11866
Asie,2024,Porte-conteneurs,2846
Asie,2024,Autres navires,27524
Asie,2025,Flotte totale,54312
Asie,2025,Petroliers,6161
Asie,2025,Vraquiers,4927
Asie,2025,Navires de charge classique,11813
Asie,2025,Porte-conteneurs,2983
Asie,2025,Autres navires,28428
Asie,2026,Flotte totale,55706
Asie,2026,Petroliers,6297
Asie,2026,Vraquiers,4943
Asie,2026,Navires de charge classique,11880
Asie,2026,Porte-conteneurs,3107
Asie,2026,Autres navires,29479
Oceanie,2011,Flotte totale,3368
Oceanie,2011,Petroliers,659
Oceanie,2011,Vraquiers,579
Oceanie,2011,Navires de charge classique,467
Oceanie,2011,Porte-conteneurs,245
Oceanie,2011,Autres navires,1418
Oceanie,2012,Flotte totale,3554
Oceanie,2012,Petroliers,553
Oceanie,2012,Vraquiers,670
Oceanie,2012,Navires de charge classique,456
Oceanie,2012,Porte-conteneurs,238
Oceanie,2012,Autres navires,1637
Oceanie,2013,Flotte totale,3880
Oceanie,2013,Petroliers,566
Oceanie,2013,Vraquiers,824
Oceanie,2013,Navires de charge classique,501
Oceanie,2013,Porte-conteneurs,249
Oceanie,2013,Autres navires,1740
Oceanie,2014,Flotte totale,4167
Oceanie,2014,Petroliers,600
Oceanie,2014,Vraquiers,925
Oceanie,2014,Navires de charge classique,518
Oceanie,2014,Porte-conteneurs,267
Oceanie,2014,Autres navires,1857
Oceanie,2015,Flotte totale,4650
Oceanie,2015,Petroliers,732
Oceanie,2015,Vraquiers,1046
