seuil_ecart,seuil_pct,granularite,Diminution,Stable,Augmentation,Global,score_equilibre
1.5,20.0,mensuel,71.6,71.5,71.7,71.5,71.6
1.5,5.0,mensuel,71.5,71.3,73.4,71.5,71.5
1.5,10.0,mensuel,71.5,71.3,73.4,71.5,71.5
1.5,15.0,mensuel,71.4,71.5,71.5,71.5,71.4
2.0,20.0,trimestriel,65.6,69.4,65.9,68.4,65.6
1.5,5.0,trimestriel,64.5,65.5,66.7,65.3,64.5
1.5,20.0,trimestriel,64.4,67.2,64.6,66.3,64.4
2.0,15.0,annuel,66.1,47.6,62.4,54.3,62.4
2.0,10.0,annuel,66.1,48.4,62.1,54.9,62.1
1.0,5.0,mensuel,65.7,31.3,61.7,60.1,61.7
1.0,10.0,mensuel,65.7,31.2,61.6,60.1,61.6
0.5,20.0,semestriel,61.5,13.4,70.4,53.0,61.5
2.0,5.0,annuel,65.1,50.0,61.5,55.5,61.5
1.5,15.0,trimestriel,69.8,67.3,60.2,67.4,60.2
1.5,10.0,trimestriel,69.6,67.5,60.1,67.4,60.1
2.0,5.0,mensuel,72.3,82.6,59.6,80.5,59.6
2.0,15.0,mensuel,72.3,82.6,59.6,80.5,59.6
2.0,20.0,mensuel,72.4,82.6,59.6,80.5,59.6
2.0,10.0,mensuel,72.3,82.6,59.6,80.5,59.6
2.0,15.0,trimestriel,70.2,69.8,58.6,69.1,58.6
2.0,5.0,trimestriel,70.3,69.9,58.6,69.2,58.6
2.0,10.0,trimestriel,70.4,69.8,58.4,69.1,58.4
1.5,15.0,annuel,73.8,44.9,57.1,54.9,57.1
1.5,10.0,semestriel,70.6,55.2,56.5,59.5,56.5
1.0,20.0,trimestriel,56.1,38.7,56.6,52.5,56.1
1.0,15.0,trimestriel,55.6,39.8,57.3,52.6,55.6
1.5,20.0,semestriel,71.3,53.6,55.6,58.5,55.6
1.5,15.0,semestriel,70.9,54.6,55.3,59.1,55.3
1.5,5.0,semestriel,70.7,55.1,55.2,59.3,55.2
1.5,10.0,annuel,71.6,46.1,55.2,54.9,55.2
1.5,5.0,annuel,74.2,46.3,54.5,55.7,54.5
1.5,20.0,annuel,54.1,39.5,76.0,49.4,54.1
0.5,20.0,mensuel,65.4,38.9,53.3,61.0,53.3
0.5,15.0,mensuel,64.5,41.5,52.8,60.6,52.8
1.0,20.0,semestriel,52.8,29.9,61.4,48.7,52.8
2.0,10.0,semestriel,71.5,60.2,52.8,61.8,52.8
2.0,15.0,semestriel,72.0,60.1,52.4,61.8,52.4
1.0,15.0,semestriel,52.4,31.8,62.5,49.5,52.4
0.5,15.0,trimestriel,52.4,36.5,61.3,51.0,52.4
1.0,5.0,trimestriel,52.3,45.0,56.8,51.5,52.3
1.0,10.0,trimestriel,52.3,44.3,56.1,51.2,52.3
1.0,20.0,mensuel,67.1,36.9,52.3,61.3,52.3
0.5,5.0,trimestriel,52.0,48.3,53.5,51.6,52.0
1.0,15.0,mensuel,66.5,39.3,52.0,61.2,52.0
2.0,5.0,semestriel,71.1,61.1,52.0,62.2,52.0
2.0,20.0,semestriel,72.2,59.4,51.7,61.3,51.7
0.5,10.0,mensuel,63.6,45.1,51.4,60.3,51.4
0.5,5.0,mensuel,63.8,45.0,51.3,60.4,51.3
0.5,10.0,trimestriel,51.1,39.7,62.2,50.9,51.1
1.0,10.0,semestriel,50.7,36.3,61.6,49.5,50.7
0.5,10.0,semestriel,50.4,28.7,64.0,49.2,50.4
1.0,5.0,semestriel,50.3,38.6,59.8,49.5,50.3
0.5,5.0,semestriel,49.5,35.0,62.0,49.5,49.5
0.5,15.0,semestriel,49.2,18.9,71.9,47.7,49.2
2.0,20.0,annuel,75.4,49.7,49.2,55.6,49.2
0.5,20.0,trimestriel,44.9,52.8,47.4,46.7,44.9
0.5,10.0,annuel,27.4,0.5,91.3,40.0,27.4
1.0,20.0,annuel,26.3,22.4,73.3,36.3,26.3
0.5,20.0,annuel,22.9,0.0,94.4,35.1,22.9
0.5,15.0,annuel,22.8,0.7,93.5,35.7,22.8
1.0,5.0,annuel,18.4,47.0,61.6,35.8,18.4
1.0,10.0,annuel,17.9,45.5,65.1,36.2,17.9
1.0,15.0,annuel,16.0,43.8,64.5,34.8,16.0
0.5,5.0,annuel,15.4,59.3,54.8,33.4,15.4
