granularite,section,detail,metrique,valeur,n
annuel,test,globale,accuracy,57.4,1236
annuel,test,globale,balanced_accuracy,46.9,1236
annuel,test,globale,f1_macro,46.9,1236
annuel,test,globale,n_zones_uniques,412.0,1236
annuel,par_annee,2023,accuracy,58.0,412
annuel,par_annee,2024,accuracy,57.8,412
annuel,par_annee,2025,accuracy,56.3,412
annuel,par_tendance,Diminution,accuracy,43.2,352
annuel,par_tendance,Stable,accuracy,76.0,674
annuel,par_tendance,Augmentation,accuracy,21.4,210
annuel,cv_temporelle,fold_1_val_2020,accuracy,52.9,331
annuel,cv_temporelle,fold_1_val_2020,balanced_accuracy,48.5,331
annuel,cv_temporelle,fold_1_val_2020,f1_macro,48.9,331
annuel,cv_temporelle,fold_2_val_2021,accuracy,55.1,321
annuel,cv_temporelle,fold_2_val_2021,balanced_accuracy,48.0,321
annuel,cv_temporelle,fold_2_val_2021,f1_macro,47.8,321
annuel,cv_temporelle,moyenne,accuracy,54.0,2
annuel,cv_temporelle,moyenne,balanced_accuracy,48.2,2
annuel,cv_temporelle,moyenne,f1_macro,48.3,2
