granularite,section,detail,metrique,valeur,n
annuel,test,globale,accuracy,54.9,1236
annuel,test,globale,balanced_accuracy,58.6,1236
annuel,test,globale,f1_macro,53.2,1236
annuel,test,globale,n_zones_uniques,412.0,1236
annuel,test,globale,repere_toujours_majoritaire_accuracy,55.7,1236
annuel,test,globale,repere_hasard_balanced,33.3,1236
annuel,par_annee,2023,accuracy,52.7,412
annuel,par_annee,2024,accuracy,56.8,412
annuel,par_annee,2025,accuracy,55.3,412
annuel,par_tendance,Diminution,accuracy,73.8,343
annuel,par_tendance,Stable,accuracy,44.9,688
annuel,par_tendance,Augmentation,accuracy,57.1,205
annuel,cv_temporelle,fold_1_val_2020,accuracy,70.9,666
annuel,cv_temporelle,fold_1_val_2020,balanced_accuracy,64.9,666
annuel,cv_temporelle,fold_1_val_2020,f1_macro,61.4,666
annuel,cv_temporelle,fold_2_val_2021,accuracy,70.7,680
annuel,cv_temporelle,fold_2_val_2021,balanced_accuracy,66.4,680
annuel,cv_temporelle,fold_2_val_2021,f1_macro,60.6,680
annuel,cv_temporelle,moyenne,accuracy,70.8,2
annuel,cv_temporelle,moyenne,balanced_accuracy,65.6,2
annuel,cv_temporelle,moyenne,f1_macro,61.0,2
