granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,74.0,10467
mensuel,test,globale,balanced_accuracy,37.8,10467
mensuel,test,globale,f1_macro,37.3,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,par_annee,2023,accuracy,73.9,3489
mensuel,par_annee,2024,accuracy,74.1,3489
mensuel,par_annee,2025,accuracy,73.9,3489
mensuel,par_tendance,Diminution,accuracy,9.2,2141
mensuel,par_tendance,Stable,accuracy,94.3,7961
mensuel,par_tendance,Augmentation,accuracy,9.9,365
mensuel,cv_temporelle,fold_1_val_2017,accuracy,59.0,1119
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,54.7,1119
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,45.1,1119
mensuel,cv_temporelle,fold_2_val_2018,accuracy,61.0,1073
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,54.4,1073
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,46.4,1073
mensuel,cv_temporelle,fold_3_val_2019,accuracy,58.0,1113
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,54.1,1113
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,44.7,1113
mensuel,cv_temporelle,fold_4_val_2020,accuracy,63.9,1086
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,57.0,1086
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,46.3,1086
mensuel,cv_temporelle,fold_5_val_2021,accuracy,64.4,874
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,56.6,874
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,45.7,874
mensuel,cv_temporelle,fold_6_val_2022,accuracy,66.9,771
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,57.3,771
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,47.3,771
mensuel,cv_temporelle,moyenne,accuracy,62.2,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,55.7,6
mensuel,cv_temporelle,moyenne,f1_macro,45.9,6
