granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,71.5,10467
mensuel,test,globale,balanced_accuracy,71.6,10467
mensuel,test,globale,f1_macro,56.7,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,test,globale,repere_toujours_majoritaire_accuracy,76.1,10467
mensuel,test,globale,repere_hasard_balanced,33.3,10467
mensuel,par_annee,2023,accuracy,71.7,3489
mensuel,par_annee,2024,accuracy,70.9,3489
mensuel,par_annee,2025,accuracy,71.9,3489
mensuel,par_tendance,Diminution,accuracy,71.6,2139
mensuel,par_tendance,Stable,accuracy,71.5,7964
mensuel,par_tendance,Augmentation,accuracy,71.7,364
mensuel,cv_temporelle,fold_1_val_2017,accuracy,80.8,3161
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,75.2,3161
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,66.8,3161
mensuel,cv_temporelle,fold_2_val_2018,accuracy,78.3,3419
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,73.7,3419
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,62.5,3419
mensuel,cv_temporelle,fold_3_val_2019,accuracy,79.2,3611
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,77.0,3611
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,64.5,3611
mensuel,cv_temporelle,fold_4_val_2020,accuracy,81.4,3783
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,80.5,3783
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,65.4,3783
mensuel,cv_temporelle,fold_5_val_2021,accuracy,86.1,3929
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,81.0,3929
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,69.8,3929
mensuel,cv_temporelle,fold_6_val_2022,accuracy,86.9,3669
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,81.4,3669
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,69.8,3669
mensuel,cv_temporelle,moyenne,accuracy,82.1,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,78.1,6
mensuel,cv_temporelle,moyenne,f1_macro,66.5,6
