granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,57.0,2337
semestriel,test,globale,balanced_accuracy,41.0,2337
semestriel,test,globale,f1_macro,41.1,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,par_annee,2023,accuracy,56.2,779
semestriel,par_annee,2024,accuracy,58.5,779
semestriel,par_annee,2025,accuracy,56.4,779
semestriel,par_tendance,Diminution,accuracy,31.3,630
semestriel,par_tendance,Stable,accuracy,76.9,1422
semestriel,par_tendance,Augmentation,accuracy,14.7,285
semestriel,cv_temporelle,fold_1_val_2018,accuracy,51.7,604
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,48.2,604
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,46.2,604
semestriel,cv_temporelle,fold_2_val_2019,accuracy,54.9,607
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,49.5,607
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,48.2,607
semestriel,cv_temporelle,fold_3_val_2020,accuracy,58.4,599
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,51.4,599
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,50.1,599
semestriel,cv_temporelle,fold_4_val_2021,accuracy,57.8,559
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,52.3,559
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,49.9,559
semestriel,cv_temporelle,fold_5_val_2022,accuracy,52.3,260
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,48.2,260
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,46.3,260
semestriel,cv_temporelle,moyenne,accuracy,55.0,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,49.9,5
semestriel,cv_temporelle,moyenne,f1_macro,48.1,5
