granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,49.5,2337
semestriel,test,globale,balanced_accuracy,49.6,2337
semestriel,test,globale,f1_macro,46.1,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,59.4,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,52.8,779
semestriel,par_annee,2024,accuracy,48.7,779
semestriel,par_annee,2025,accuracy,47.1,779
semestriel,par_tendance,Diminution,accuracy,50.3,1389
semestriel,par_tendance,Stable,accuracy,38.6,513
semestriel,par_tendance,Augmentation,accuracy,59.8,435
semestriel,cv_temporelle,fold_1_val_2018,accuracy,56.8,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,56.2,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,51.9,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,53.9,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,54.3,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,49.1,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,53.5,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,56.6,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,47.9,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,54.3,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,53.0,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,44.9,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,66.0,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,62.9,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,55.8,571
semestriel,cv_temporelle,moyenne,accuracy,56.9,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,56.6,5
semestriel,cv_temporelle,moyenne,f1_macro,49.9,5
