granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,64.7,4317
trimestriel,test,globale,balanced_accuracy,44.6,4317
trimestriel,test,globale,f1_macro,44.1,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,par_annee,2023,accuracy,64.7,1439
trimestriel,par_annee,2024,accuracy,64.4,1439
trimestriel,par_annee,2025,accuracy,65.0,1439
trimestriel,par_tendance,Diminution,accuracy,21.1,1066
trimestriel,par_tendance,Stable,accuracy,85.0,2910
trimestriel,par_tendance,Augmentation,accuracy,27.9,341
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,53.6,784
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,52.1,784
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,47.9,784
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,59.0,746
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,55.9,746
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,51.9,746
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,60.2,518
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,56.3,518
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,51.1,518
trimestriel,cv_temporelle,moyenne,accuracy,57.6,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,54.8,3
trimestriel,cv_temporelle,moyenne,f1_macro,50.3,3
