granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,68.4,4317
trimestriel,test,globale,balanced_accuracy,66.9,4317
trimestriel,test,globale,f1_macro,56.4,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,74.5,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,68.6,1439
trimestriel,par_annee,2024,accuracy,68.5,1439
trimestriel,par_annee,2025,accuracy,68.2,1439
trimestriel,par_tendance,Diminution,accuracy,65.6,805
trimestriel,par_tendance,Stable,accuracy,69.4,3216
trimestriel,par_tendance,Augmentation,accuracy,65.9,296
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,74.6,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,71.3,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,60.0,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,79.0,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,75.8,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,65.3,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,79.7,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,77.8,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,65.7,1398
trimestriel,cv_temporelle,moyenne,accuracy,77.8,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,75.0,3
trimestriel,cv_temporelle,moyenne,f1_macro,63.7,3
