grille_lat,grille_lon,annee,nb_accidents,reference_historique,nb_zones,pct_evolution,categorie,couleur
24.0,-42.0,2011,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2012,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2013,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2014,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2015,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2016,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2017,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2018,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2019,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2020,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2021,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2022,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2023,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2024,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-42.0,2025,0.0,0.0,22,,Données insuffisantes,#cccccc
24.0,-40.5,2011,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2012,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2013,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2014,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2015,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2016,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2017,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2018,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2019,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2020,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2021,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2022,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2023,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2024,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-40.5,2025,0.0,0.0,26,,Données insuffisantes,#cccccc
24.0,-39.0,2011,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2012,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2013,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2014,1.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2015,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2016,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2017,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2018,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2019,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2020,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2021,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2022,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2023,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2024,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-39.0,2025,0.0,0.06666666666666667,32,,Données insuffisantes,#cccccc
24.0,-37.5,2011,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2012,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2013,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2014,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2015,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2016,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2017,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2018,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2019,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2020,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2021,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2022,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2023,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2024,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-37.5,2025,0.0,0.0,27,,Données insuffisantes,#cccccc
24.0,-36.0,2011,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2012,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2013,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2014,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2015,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2016,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2017,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2018,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2019,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2020,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2021,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2022,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2023,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2024,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-36.0,2025,0.0,0.0,28,,Données insuffisantes,#cccccc
24.0,-34.5,2011,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2012,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2013,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2014,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2015,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2016,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2017,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2018,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2019,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2020,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2021,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2022,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2023,0.0,0.0,24,,Données insuffisantes,#cccccc
24.0,-34.5,2024,0.0,0.0,24,,Données insuffisantes,#cccccc
