Economy_Label,2011_Flotte totale_Nombre_de_navires_Value,2011_Flotte totale_Number_of_ships_Footnote,2011_Flotte totale_Number_of_ships_MissingValue,2011_Petroliers_Nombre_de_navires_Value,2011_Petroliers_Number_of_ships_Footnote,2011_Petroliers_Number_of_ships_MissingValue,2011_Vraquiers_Nombre_de_navires_Value,2011_Vraquiers_Number_of_ships_Footnote,2011_Vraquiers_Number_of_ships_MissingValue,2011_Navires de charge classique_Nombre_de_navires_Value,2011_Navires de charge classique_Number_of_ships_Footnote,2011_Navires de charge classique_Number_of_ships_MissingValue,2011_Porte-conteneurs_Nombre_de_navires_Value,2011_Porte-conteneurs_Number_of_ships_Footnote,2011_Porte-conteneurs_Number_of_ships_MissingValue,2011_Autres navires_Nombre_de_navires_Value,2011_Autres navires_Number_of_ships_Footnote,2011_Autres navires_Number_of_ships_MissingValue,2012_Flotte totale_Nombre_de_navires_Value,2012_Flotte totale_Number_of_ships_Footnote,2012_Flotte totale_Number_of_ships_MissingValue,2012_Petroliers_Nombre_de_navires_Value,2012_Petroliers_Number_of_ships_Footnote,2012_Petroliers_Number_of_ships_MissingValue,2012_Vraquiers_Nombre_de_navires_Value,2012_Vraquiers_Number_of_ships_Footnote,2012_Vraquiers_Number_of_ships_MissingValue,2012_Navires de charge classique_Nombre_de_navires_Value,2012_Navires de charge classique_Number_of_ships_Footnote,2012_Navires de charge classique_Number_of_ships_MissingValue,2012_Porte-conteneurs_Nombre_de_navires_Value,2012_Porte-conteneurs_Number_of_ships_Footnote,2012_Porte-conteneurs_Number_of_ships_MissingValue,2012_Autres navires_Nombre_de_navires_Value,2012_Autres navires_Number_of_ships_Footnote,2012_Autres navires_Number_of_ships_MissingValue,2013_Flotte totale_Nombre_de_navires_Value,2013_Flotte totale_Number_of_ships_Footnote,2013_Flotte totale_Number_of_ships_MissingValue,2013_Petroliers_Nombre_de_navires_Value,2013_Petroliers_Number_of_ships_Footnote,2013_Petroliers_Number_of_ships_MissingValue,2013_Vraquiers_Nombre_de_navires_Value,2013_Vraquiers_Number_of_ships_Footnote,2013_Vraquiers_Number_of_ships_MissingValue,2013_Navires de charge classique_Nombre_de_navires_Value,2013_Navires de charge classique_Number_of_ships_Footnote,2013_Navires de charge classique_Number_of_ships_MissingValue,2013_Porte-conteneurs_Nombre_de_navires_Value,2013_Porte-conteneurs_Number_of_ships_Footnote,2013_Porte-conteneurs_Number_of_ships_MissingValue,2013_Autres navires_Nombre_de_navires_Value,2013_Autres navires_Number_of_ships_Footnote,2013_Autres navires_Number_of_ships_MissingValue,2014_Flotte totale_Nombre_de_navires_Value,2014_Flotte totale_Number_of_ships_Footnote,2014_Flotte totale_Number_of_ships_MissingValue,2014_Petroliers_Nombre_de_navires_Value,2014_Petroliers_Number_of_ships_Footnote,2014_Petroliers_Number_of_ships_MissingValue,2014_Vraquiers_Nombre_de_navires_Value,2014_Vraquiers_Number_of_ships_Footnote,2014_Vraquiers_Number_of_ships_MissingValue,2014_Navires de charge classique_Nombre_de_navires_Value,2014_Navires de charge classique_Number_of_ships_Footnote,2014_Navires de charge classique_Number_of_ships_MissingValue,2014_Porte-conteneurs_Nombre_de_navires_Value,2014_Porte-conteneurs_Number_of_ships_Footnote,2014_Porte-conteneurs_Number_of_ships_MissingValue,2014_Autres navires_Nombre_de_navires_Value,2014_Autres navires_Number_of_ships_Footnote,2014_Autres navires_Number_of_ships_MissingValue,2015_Flotte totale_Nombre_de_navires_Value,2015_Flotte totale_Number_of_ships_Footnote,2015_Flotte totale_Number_of_ships_MissingValue,2015_Petroliers_Nombre_de_navires_Value,2015_Petroliers_Number_of_ships_Footnote,2015_Petroliers_Number_of_ships_MissingValue,2015_Vraquiers_Nombre_de_navires_Value,2015_Vraquiers_Number_of_ships_Footnote,2015_Vraquiers_Number_of_ships_MissingValue,2015_Navires de charge classique_Nombre_de_navires_Value,2015_Navires de charge classique_Number_of_ships_Footnote,2015_Navires de charge classique_Number_of_ships_MissingValue,2015_Porte-conteneurs_Nombre_de_navires_Value,2015_Porte-conteneurs_Number_of_ships_Footnote,2015_Porte-conteneurs_Number_of_ships_MissingValue,2015_Autres navires_Nombre_de_navires_Value,2015_Autres navires_Number_of_ships_Footnote,2015_Autres navires_Number_of_ships_MissingValue,2016_Flotte totale_Nombre_de_navires_Value,2016_Flotte totale_Number_of_ships_Footnote,2016_Flotte totale_Number_of_ships_MissingValue,2016_Petroliers_Nombre_de_navires_Value,2016_Petroliers_Number_of_ships_Footnote,2016_Petroliers_Number_of_ships_MissingValue,2016_Vraquiers_Nombre_de_navires_Value,2016_Vraquiers_Number_of_ships_Footnote,2016_Vraquiers_Number_of_ships_MissingValue,2016_Navires de charge classique_Nombre_de_navires_Value,2016_Navires de charge classique_Number_of_ships_Footnote,2016_Navires de charge classique_Number_of_ships_MissingValue,2016_Porte-conteneurs_Nombre_de_navires_Value,2016_Porte-conteneurs_Number_of_ships_Footnote,2016_Porte-conteneurs_Number_of_ships_MissingValue,2016_Autres navires_Nombre_de_navires_Value,2016_Autres navires_Number_of_ships_Footnote,2016_Autres navires_Number_of_ships_MissingValue,2017_Flotte totale_Nombre_de_navires_Value,2017_Flotte totale_Number_of_ships_Footnote,2017_Flotte totale_Number_of_ships_MissingValue,2017_Petroliers_Nombre_de_navires_Value,2017_Petroliers_Number_of_ships_Footnote,2017_Petroliers_Number_of_ships_MissingValue,2017_Vraquiers_Nombre_de_navires_Value,2017_Vraquiers_Number_of_ships_Footnote,2017_Vraquiers_Number_of_ships_MissingValue,2017_Navires de charge classique_Nombre_de_navires_Value,2017_Navires de charge classique_Number_of_ships_Footnote,2017_Navires de charge classique_Number_of_ships_MissingValue,2017_Porte-conteneurs_Nombre_de_navires_Value,2017_Porte-conteneurs_Number_of_ships_Footnote,2017_Porte-conteneurs_Number_of_ships_MissingValue,2017_Autres navires_Nombre_de_navires_Value,2017_Autres navires_Number_of_ships_Footnote,2017_Autres navires_Number_of_ships_MissingValue,2018_Flotte totale_Nombre_de_navires_Value,2018_Flotte totale_Number_of_ships_Footnote,2018_Flotte totale_Number_of_ships_MissingValue,2018_Petroliers_Nombre_de_navires_Value,2018_Petroliers_Number_of_ships_Footnote,2018_Petroliers_Number_of_ships_MissingValue,2018_Vraquiers_Nombre_de_navires_Value,2018_Vraquiers_Number_of_ships_Footnote,2018_Vraquiers_Number_of_ships_MissingValue,2018_Navires de charge classique_Nombre_de_navires_Value,2018_Navires de charge classique_Number_of_ships_Footnote,2018_Navires de charge classique_Number_of_ships_MissingValue,2018_Porte-conteneurs_Nombre_de_navires_Value,2018_Porte-conteneurs_Number_of_ships_Footnote,2018_Porte-conteneurs_Number_of_ships_MissingValue,2018_Autres navires_Nombre_de_navires_Value,2018_Autres navires_Number_of_ships_Footnote,2018_Autres navires_Number_of_ships_MissingValue,2019_Flotte totale_Nombre_de_navires_Value,2019_Flotte totale_Number_of_ships_Footnote,2019_Flotte totale_Number_of_ships_MissingValue,2019_Petroliers_Nombre_de_navires_Value,2019_Petroliers_Number_of_ships_Footnote,2019_Petroliers_Number_of_ships_MissingValue,2019_Vraquiers_Nombre_de_navires_Value,2019_Vraquiers_Number_of_ships_Footnote,2019_Vraquiers_Number_of_ships_MissingValue,2019_Navires de charge classique_Nombre_de_navires_Value,2019_Navires de charge classique_Number_of_ships_Footnote,2019_Navires de charge classique_Number_of_ships_MissingValue,2019_Porte-conteneurs_Nombre_de_navires_Value,2019_Porte-conteneurs_Number_of_ships_Footnote,2019_Porte-conteneurs_Number_of_ships_MissingValue,2019_Autres navires_Nombre_de_navires_Value,2019_Autres navires_Number_of_ships_Footnote,2019_Autres navires_Number_of_ships_MissingValue,2020_Flotte totale_Nombre_de_navires_Value,2020_Flotte totale_Number_of_ships_Footnote,2020_Flotte totale_Number_of_ships_MissingValue,2020_Petroliers_Nombre_de_navires_Value,2020_Petroliers_Number_of_ships_Footnote,2020_Petroliers_Number_of_ships_MissingValue,2020_Vraquiers_Nombre_de_navires_Value,2020_Vraquiers_Number_of_ships_Footnote,2020_Vraquiers_Number_of_ships_MissingValue,2020_Navires de charge classique_Nombre_de_navires_Value,2020_Navires de charge classique_Number_of_ships_Footnote,2020_Navires de charge classique_Number_of_ships_MissingValue,2020_Porte-conteneurs_Nombre_de_navires_Value,2020_Porte-conteneurs_Number_of_ships_Footnote,2020_Porte-conteneurs_Number_of_ships_MissingValue,2020_Autres navires_Nombre_de_navires_Value,2020_Autres navires_Number_of_ships_Footnote,2020_Autres navires_Number_of_ships_MissingValue,2021_Flotte totale_Nombre_de_navires_Value,2021_Flotte totale_Number_of_ships_Footnote,2021_Flotte totale_Number_of_ships_MissingValue,2021_Petroliers_Nombre_de_navires_Value,2021_Petroliers_Number_of_ships_Footnote,2021_Petroliers_Number_of_ships_MissingValue,2021_Vraquiers_Nombre_de_navires_Value,2021_Vraquiers_Number_of_ships_Footnote,2021_Vraquiers_Number_of_ships_MissingValue,2021_Navires de charge classique_Nombre_de_navires_Value,2021_Navires de charge classique_Number_of_ships_Footnote,2021_Navires de charge classique_Number_of_ships_MissingValue,2021_Porte-conteneurs_Nombre_de_navires_Value,2021_Porte-conteneurs_Number_of_ships_Footnote,2021_Porte-conteneurs_Number_of_ships_MissingValue,2021_Autres navires_Nombre_de_navires_Value,2021_Autres navires_Number_of_ships_Footnote,2021_Autres navires_Number_of_ships_MissingValue,2022_Flotte totale_Nombre_de_navires_Value,2022_Flotte totale_Number_of_ships_Footnote,2022_Flotte totale_Number_of_ships_MissingValue,2022_Petroliers_Nombre_de_navires_Value,2022_Petroliers_Number_of_ships_Footnote,2022_Petroliers_Number_of_ships_MissingValue,2022_Vraquiers_Nombre_de_navires_Value,2022_Vraquiers_Number_of_ships_Footnote,2022_Vraquiers_Number_of_ships_MissingValue,2022_Navires de charge classique_Nombre_de_navires_Value,2022_Navires de charge classique_Number_of_ships_Footnote,2022_Navires de charge classique_Number_of_ships_MissingValue,2022_Porte-conteneurs_Nombre_de_navires_Value,2022_Porte-conteneurs_Number_of_ships_Footnote,2022_Porte-conteneurs_Number_of_ships_MissingValue,2022_Autres navires_Nombre_de_navires_Value,2022_Autres navires_Number_of_ships_Footnote,2022_Autres navires_Number_of_ships_MissingValue,2023_Flotte totale_Nombre_de_navires_Value,2023_Flotte totale_Number_of_ships_Footnote,2023_Flotte totale_Number_of_ships_MissingValue,2023_Petroliers_Nombre_de_navires_Value,2023_Petroliers_Number_of_ships_Footnote,2023_Petroliers_Number_of_ships_MissingValue,2023_Vraquiers_Nombre_de_navires_Value,2023_Vraquiers_Number_of_ships_Footnote,2023_Vraquiers_Number_of_ships_MissingValue,2023_Navires de charge classique_Nombre_de_navires_Value,2023_Navires de charge classique_Number_of_ships_Footnote,2023_Navires de charge classique_Number_of_ships_MissingValue,2023_Porte-conteneurs_Nombre_de_navires_Value,2023_Porte-conteneurs_Number_of_ships_Footnote,2023_Porte-conteneurs_Number_of_ships_MissingValue,2023_Autres navires_Nombre_de_navires_Value,2023_Autres navires_Number_of_ships_Footnote,2023_Autres navires_Number_of_ships_MissingValue,2024_Flotte totale_Nombre_de_navires_Value,2024_Flotte totale_Number_of_ships_Footnote,2024_Flotte totale_Number_of_ships_MissingValue,2024_Petroliers_Nombre_de_navires_Value,2024_Petroliers_Number_of_ships_Footnote,2024_Petroliers_Number_of_ships_MissingValue,2024_Vraquiers_Nombre_de_navires_Value,2024_Vraquiers_Number_of_ships_Footnote,2024_Vraquiers_Number_of_ships_MissingValue,2024_Navires de charge classique_Nombre_de_navires_Value,2024_Navires de charge classique_Number_of_ships_Footnote,2024_Navires de charge classique_Number_of_ships_MissingValue,2024_Porte-conteneurs_Nombre_de_navires_Value,2024_Porte-conteneurs_Number_of_ships_Footnote,2024_Porte-conteneurs_Number_of_ships_MissingValue,2024_Autres navires_Nombre_de_navires_Value,2024_Autres navires_Number_of_ships_Footnote,2024_Autres navires_Number_of_ships_MissingValue,2025_Flotte totale_Nombre_de_navires_Value,2025_Flotte totale_Number_of_ships_Footnote,2025_Flotte totale_Number_of_ships_MissingValue,2025_Petroliers_Nombre_de_navires_Value,2025_Petroliers_Number_of_ships_Footnote,2025_Petroliers_Number_of_ships_MissingValue,2025_Vraquiers_Nombre_de_navires_Value,2025_Vraquiers_Number_of_ships_Footnote,2025_Vraquiers_Number_of_ships_MissingValue,2025_Navires de charge classique_Nombre_de_navires_Value,2025_Navires de charge classique_Number_of_ships_Footnote,2025_Navires de charge classique_Number_of_ships_MissingValue,2025_Porte-conteneurs_Nombre_de_navires_Value,2025_Porte-conteneurs_Number_of_ships_Footnote,2025_Porte-conteneurs_Number_of_ships_MissingValue,2025_Autres navires_Nombre_de_navires_Value,2025_Autres navires_Number_of_ships_Footnote,2025_Autres navires_Number_of_ships_MissingValue,2026_Flotte totale_Nombre_de_navires_Value,2026_Flotte totale_Number_of_ships_Footnote,2026_Flotte totale_Number_of_ships_MissingValue,2026_Petroliers_Nombre_de_navires_Value,2026_Petroliers_Number_of_ships_Footnote,2026_Petroliers_Number_of_ships_MissingValue,2026_Vraquiers_Nombre_de_navires_Value,2026_Vraquiers_Number_of_ships_Footnote,2026_Vraquiers_Number_of_ships_MissingValue,2026_Navires de charge classique_Nombre_de_navires_Value,2026_Navires de charge classique_Number_of_ships_Footnote,2026_Navires de charge classique_Number_of_ships_MissingValue,2026_Porte-conteneurs_Nombre_de_navires_Value,2026_Porte-conteneurs_Number_of_ships_Footnote,2026_Porte-conteneurs_Number_of_ships_MissingValue,2026_Autres navires_Nombre_de_navires_Value,2026_Autres navires_Number_of_ships_Footnote,2026_Autres navires_Number_of_ships_MissingValue
"Monde",83282,,,10609,,,8228,,,21090,,,4966,,,38389,,,84709,,,8838,,,9001,,,20309,,,5096,,,41465,,,86667,,,9100,,,9688,,,20421,,,5079,,,42379,,,87949,,,9239,,,10162,,,19664,,,5101,,,43783,,,90470,,,9695,,,10509,,,19566,,,5111,,,45589,,,92095,,,9884,,,10729,,,19613,,,5226,,,46643,,,93518,,,10187,,,10895,,,19044,,,5150,,,48242,,,95650,,,10852,,,11384,,,19079,,,5198,,,49137,,,97133,,,10996,,,11623,,,19287,,,5305,,,49922,,,100148,,,11354,,,11987,,,19887,,,5384,,,51536,,,102172,,,11540,,,12379,,,20066,,,5495,,,52692,,,104827,,,12133,,,12783,,,20332,,,5673,,,53906,,,107744,,,12359,,,13316,,,20778,,,6077,,,55214,,,110094,,,12559,,,13792,,,21244,,,6370,,,56129,,,112782,,,12687,,,14211,,,21409,,,6789,,,57686,,,115649,,,12931,,,14630,,,21661,,,7044,,,59383,,
"Asie",35108,,,4746,,,2643,,,10762,,,1502,,,15455,,,35918,,,3829,,,2994,,,10360,,,1512,,,17223,,,37498,,,3959,,,3409,,,10512,,,1613,,,18005,,,38559,,,4101,,,3728,,,10315,,,1746,,,18669,,,39845,,,4306,,,3871,,,10363,,,1835,,,19470,,,40564,,,4378,,,3924,,,10439,,,1914,,,19909,,,41851,,,4464,,,3927,,,10115,,,1960,,,21385,,,43753,,,5019,,,4237,,,10225,,,2071,,,22201,,,44802,,,5119,,,4339,,,10456,,,2177,,,22711,,,46761,,,5386,,,4408,,,10886,,,2243,,,23838,,,48028,,,5470,,,4473,,,11114,,,2335,,,24636,,,49933,,,5997,,,4591,,,11267,,,2405,,,25673,,,51550,,,6025,,,4797,,,11469,,,2711,,,26548,,,53389,,,6157,,,4996,,,11866,,,2846,,,27524,,,54312,,,6161,,,4927,,,11813,,,2983,,,28428,,,55706,,,6297,,,4943,,,11880,,,3107,,,29479,,
"Oceanie",3368,,,659,,,579,,,467,,,245,,,1418,,,3554,,,553,,,670,,,456,,,238,,,1637,,,3880,,,566,,,824,,,501,,,249,,,1740,,,4167,,,600,,,925,,,518,,,267,,,1857,,,4650,,,732,,,1046,,,565,,,297,,,2010,,,5050,,,806,,,1191,,,599,,,312,,,2142,,,5455,,,887,,,1355,,,688,,,285,,,2240,,,5738,,,971,,,1527,,,669,,,284,,,2287,,,5783,,,987,,,1623,,,659,,,287,,,2227,,,5976,,,1041,,,1738,,,670,,,273,,,2254,,,6112,,,1133,,,1818,,,627,,,274,,,2260,,,6432,,,1187,,,1974,,,679,,,297,,,2295,,,6770,,,1207,,,2047,,,762,,,298,,,2456,,,6996,,,1241,,,2128,,,793,,,299,,,2535,,,6961,,,1176,,,2104,,,786,,,300,,,2595,,,7122,,,1210,,,2137,,,801,,,280,,,2694,,
"Pays individuels",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable",,,"Pas applicable"
"Afghanistan",1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,3,,,0,,,0,,,0,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albanie",68,,,0,,,0,,,65,,,0,,,3,,,66,,,0,,,0,,,60,,,0,,,6,,,67,,,0,,,0,,,60,,,0,,,7,,,59,,,0,,,1,,,51,,,0,,,7,,,58,,,0,,,1,,,50,,,0,,,7,,,58,,,0,,,1,,,50,,,0,,,7,,,61,,,0,,,1,,,49,,,0,,,11,,,67,,,1,,,1,,,50,,,0,,,15,,,67,,,1,,,0,,,47,,,0,,,19,,,68,,,1,,,0,,,48,,,0,,,19,,,70,,,1,,,0,,,47,,,0,,,22,,,69,,,1,,,0,,,47,,,0,,,21,,,70,,,1,,,0,,,46,,,0,,,23,,,58,,,1,,,0,,,34,,,0,,,23,,,58,,,1,,,0,,,33,,,0,,,24,,,59,,,1,,,0,,,33,,,0,,,25,,
"Algerie",104,,,9,,,6,,,12,,,0,,,77,,,111,,,8,,,6,,,12,,,0,,,85,,,112,,,8,,,4,,,12,,,0,,,88,,,111,,,8,,,4,,,12,,,0,,,87,,,116,,,9,,,4,,,16,,,0,,,87,,,111,,,9,,,4,,,11,,,0,,,87,,,111,,,10,,,3,,,13,,,0,,,85,,,104,,,10,,,0,,,11,,,2,,,81,,,114,,,10,,,0,,,11,,,2,,,91,,,114,,,11,,,1,,,11,,,2,,,89,,,114,,,11,,,1,,,11,,,2,,,89,,,118,,,14,,,1,,,11,,,4,,,88,,,118,,,14,,,1,,,11,,,4,,,88,,,118,,,14,,,1,,,11,,,4,,,88,,,118,,,14,,,1,,,11,,,4,,,88,,,118,,,14,,,1,,,11,,,4,,,88,,
"Angola",49,,,8,,,0,,,15,,,0,,,26,,,43,,,8,,,0,,,14,,,0,,,21,,,44,,,8,,,0,,,14,,,0,,,22,,,49,,,9,,,0,,,14,,,0,,,26,,,52,,,9,,,0,,,14,,,0,,,29,,,55,,,9,,,0,,,14,,,0,,,32,,,55,,,8,,,0,,,14,,,0,,,33,,,55,,,8,,,0,,,14,,,0,,,33,,,54,,,8,,,0,,,13,,,0,,,33,,,54,,,8,,,0,,,13,,,0,,,33,,,61,,,8,,,0,,,13,,,0,,,40,,,64,,,8,,,0,,,13,,,0,,,43,,,63,,,7,,,0,,,13,,,0,,,43,,,63,,,7,,,0,,,13,,,0,,,43,,,66,,,7,,,0,,,15,,,0,,,44,,,69,,,8,,,0,,,15,,,0,,,46,,
"Anguilla",2,,,0,,,0,,,2,,,0,,,0,,,1,,,0,,,0,,,1,,,0,,,0,,,1,,,0,,,0,,,1,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,2,,,0,,,0,,,0,,,0,,,2,,,2,,,0,,,0,,,0,,,0,,,2,,,2,,,0,,,0,,,0,,,0,,,2,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,
"Antigua-et-Barbuda",1193,,,3,,,35,,,691,,,391,,,73,,,1295,,,2,,,42,,,751,,,423,,,77,,,1276,,,3,,,39,,,748,,,407,,,79,,,1207,,,3,,,35,,,722,,,368,,,79,,,1140,,,3,,,35,,,688,,,334,,,80,,,1050,,,2,,,32,,,654,,,284,,,78,,,956,,,2,,,37,,,611,,,235,,,71,,,843,,,2,,,33,,,558,,,188,,,62,,,774,,,2,,,32,,,533,,,150,,,57,,,718,,,2,,,27,,,501,,,135,,,53,,,673,,,2,,,24,,,469,,,123,,,55,,,638,,,4,,,26,,,444,,,112,,,52,,,615,,,6,,,24,,,425,,,109,,,51,,,629,,,9,,,21,,,431,,,115,,,53,,,672,,,36,,,19,,,452,,,111,,,54,,,731,,,30,,,31,,,505,,,103,,,62,,
"Argentine",153,,,29,,,2,,,18,,,0,,,104,,,143,,,26,,,1,,,11,,,0,,,105,,,149,,,27,,,1,,,11,,,0,,,110,,,150,,,26,,,1,,,11,,,0,,,112,,,159,,,29,,,0,,,11,,,1,,,118,,,160,,,28,,,0,,,11,,,1,,,120,,,183,,,29,,,0,,,8,,,1,,,145,,,189,,,29,,,0,,,8,,,1,,,151,,,191,,,30,,,0,,,8,,,1,,,152,,,200,,,32,,,0,,,8,,,1,,,159,,,204,,,33,,,1,,,8,,,1,,,161,,,200,,,33,,,1,,,8,,,1,,,157,,,199,,,32,,,1,,,8,,,1,,,157,,,193,,,31,,,1,,,8,,,1,,,152,,,191,,,31,,,1,,,8,,,1,,,150,,,189,,,30,,,1,,,8,,,1,,,149,,
"Aruba",1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,2,,,1,,,0,,,0,,,0,,,1,,,2,,,1,,,0,,,0,,,0,,,1,,,31,,,18,,,0,,,0,,,4,,,9,,
"Australie",481,,,6,,,9,,,70,,,0,,,396,,,491,,,8,,,8,,,74,,,0,,,401,,,526,,,6,,,7,,,79,,,0,,,434,,,524,,,5,,,5,,,83,,,0,,,431,,,539,,,10,,,5,,,79,,,0,,,445,,,545,,,10,,,5,,,83,,,0,,,447,,,551,,,7,,,4,,,78,,,0,,,462,,,564,,,8,,,4,,,77,,,0,,,475,,,574,,,7,,,4,,,80,,,0,,,483,,,583,,,6,,,3,,,78,,,0,,,496,,,600,,,7,,,2,,,77,,,0,,,514,,,607,,,6,,,2,,,76,,,0,,,523,,,613,,,6,,,2,,,76,,,0,,,529,,,618,,,7,,,2,,,76,,,0,,,533,,,628,,,7,,,2,,,75,,,0,,,544,,,650,,,8,,,2,,,76,,,0,,,564,,
"Autriche",1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,
"Azerbaidjan",297,,,51,,,0,,,33,,,0,,,213,,,295,,,49,,,0,,,33,,,0,,,213,,,305,,,49,,,0,,,38,,,0,,,218,,,301,,,49,,,0,,,39,,,0,,,213,,,307,,,50,,,0,,,42,,,0,,,215,,,302,,,48,,,0,,,42,,,0,,,212,,,294,,,41,,,0,,,40,,,0,,,213,,,297,,,44,,,0,,,40,,,0,,,213,,,302,,,47,,,0,,,40,,,0,,,215,,,303,,,45,,,0,,,38,,,0,,,220,,,305,,,43,,,0,,,38,,,0,,,224,,,309,,,44,,,0,,,38,,,0,,,227,,,313,,,44,,,0,,,38,,,0,,,231,,,314,,,47,,,0,,,36,,,0,,,231,,,315,,,46,,,0,,,35,,,0,,,234,,,318,,,46,,,0,,,36,,,0,,,236,,
