Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2018-01-04,High sea - n/a,Netherlands,Netherlands - DSB,99/2018,Serious,8°24.43' N,87°52.119' E,No,12:00,0,1,,Not Investigated,Yes,,,,,,,Ship - Unknown,Sailing - Running,,,Recommended route,Transit,,,,Cargo ship - Solid Cargo - Bulk Carrier,SINGAPORE - Jurong/Singapore,IRAN; ISLAMIC REPUBLIC OF - Bandar Khomeini,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of hand-held tool (motorised or not) or of the material being worked by the tool,Accident,
2018-01-08,High sea - Within EEZ,Malta,Malta - MSIU,242/2018,Less Serious,29°37' N,123°19' E,No,00:10,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Over side,Normal service - In passage,0,0,No routeing system,Unknown,No,,,Fishing vessel,Unknown,Unknown,Collision - With other ship,,,No
2018-01-08,High sea - Within EEZ,Malta,Malta - MSIU,242/2018,Less Serious,29°37' N,123°19' E,No,00:10,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Over side,Normal service - In passage,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,SINGAPORE - Singapore,CHINA - Yantai (Chefoo),Collision - With other ship,,,No
2018-01-12,Internal waters - Channel; river,Germany,Germany - BSU,919/2018,Marine incident,53°53.577' N,9°8.554' E,No,00:00,0,0,None,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,Ship - Other,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,FINLAND - Kotka,NETHERLANDS - Rotterdam,Contact - Shore object,,,No
2017-12-24,High sea - Outside EEZ,Malta,Malta - MSIU,46/2018,Less Serious,32°33.5' N,123°45.99' E,No,19:50,0,0,None,Not Investigated,Yes,,,No damage,No,No,No,Ship - Over side,Normal service - In passage,0,0,No routeing system,Unknown,No,,,Cargo ship - Solid Cargo - Bulk Carrier,CHINA - Huanghua,Unknown,Collision - With other ship,,,No
2017-12-24,High sea - Outside EEZ,Malta,Malta - MSIU,46/2018,Less Serious,32°33.5' N,123°45.99' E,No,19:50,0,0,None,Not Investigated,Yes,,,No damage,No,No,No,Ship - Over side,Normal service - In passage,0,0,No routeing system,Unknown,No,,,Fishing vessel,Unknown,Unknown,Collision - With other ship,,,No
2017-12-20,Internal waters - Archipelago fairway,Norway,Norway - NSIA,13/2018,Less Serious,,,No,07:20,0,1,,Not Investigated,Yes,Norway - Troms,,,,,,Ship - Unknown,Normal service - In passage,,,No routeing system,Transit,,,,Passenger ship - Passenger and general cargo,NORWAY - Finnsnes,NORWAY - Harstad,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,
2018-01-14,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,357/2018,Marine incident,54°6.922' N,3°14.87' W,No,17:05,0,0,UNITED KINGDOM - Barrow in Furness,Not Investigated,Yes,United Kingdom - England,,,No,No,No,Ship - Unknown,Unknown,0,0,No routeing system,Arrival,No,,,Service ship - Offshore supply ship,Unknown,UNITED KINGDOM - Barrow in Furness,Contact - Shore object,,,No
2018-01-03,Internal waters - Channel; river,Denmark,Denmark - DMAIB,80/2018,Serious,31°9.9' N,29°49.3' E,No,06:40,0,0,EGYPT - El Iskandariya (= Alexandria),Not Investigated,Yes,,,Material damage,No,No,No,Cargo and tank areas - Tanks - Ballast tank,Normal service - Manoeuvring,0,0,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - Container Ship,EGYPT - El Iskandariya (= Alexandria),TURKEY - Mersin,Grounding/stranding - Power,,,No
2018-01-03,Internal waters - Channel; river,Denmark,Denmark - DMAIB,80/2018,Serious,31°9.9' N,29°49.3' E,No,06:40,0,0,EGYPT - El Iskandariya (= Alexandria),Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Auxiliary engine room,Normal service - Manoeuvring,0,0,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - Container Ship,EGYPT - El Iskandariya (= Alexandria),TURKEY - Mersin,Grounding/stranding - Power,,,No
2018-01-07,Territorial sea,United Kingdom,United Kingdom - MAIB,76/2018,Less Serious,50°24.4' N,3°30.361' W,No,08:57,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Engine room,Unknown,0,0,Unknown,Unknown,No,,,Fishing vessel - Trawler - Beam,UNITED KINGDOM - Brixham,UNITED KINGDOM - Brixham,Loss of control - Loss of directional control,,,No
2017-12-27,Internal waters - Channel; river,Germany,Germany - BSU,666/2018,Less Serious,53°53.549' N,9°8.598' E,No,05:25,0,0,None,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,Ship - Other,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),NETHERLANDS - Rotterdam,Contact - Shore object,,,No
2017-12-20,Territorial sea,Germany,Germany - BSU,640/2018,Marine incident,53°44.947' N,7°55.454' E,No,15:30,0,0,Unknown,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,,No damage,No,No,No,Ship - Other,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Passenger ship - Only passenger,Unknown,Unknown,Grounding/stranding - Power,,,No
